date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:36	6212/6212	---M--	200	added ('OK')	text/html	etag:%221844-4ce6a16d8ba00%22	http://www.hawaii4two.com/jungle.htm	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/jungle.html	(from http://www.hawaii4two.com/)
19:20:37	5894/5894	---M--	200	added ('OK')	text/html	etag:%221706-4ce6a16e7fc40%22	http://www.hawaii4two.com/banana.htm	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/banana.html	(from http://www.hawaii4two.com/)
19:20:37	34486/34486	---M--	200	added ('OK')	image/jpeg	etag:%2286b6-4d6f89d694d00%22	http://www.hawaii4two.com/dabwana.jpg	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/dabwana.jpg	(from http://www.hawaii4two.com/)
19:20:37	59/59	---M--	200	added ('OK')	image/gif	etag:%223b-3fa3e5939ab80%22	http://www.hawaii4two.com/sp4.gif	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/sp4.gif	(from http://www.hawaii4two.com/)
19:20:38	67499/67499	---M--	200	added ('OK')	image/jpeg	etag:%22107ab-4892987de4d40%22	http://www.hawaii4two.com/aloha.jpg	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/aloha.jpg	(from http://www.hawaii4two.com/)
19:20:38	21466/21466	---M--	200	added ('OK')	image/jpeg	etag:%2253da-4e2d27652f3c0%22	http://www.hawaii4two.com/side.jpg	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/side.jpg	(from http://www.hawaii4two.com/)
19:20:38	7268/7268	---M--	200	added ('OK')	image/jpeg	etag:%221c64-3fa3e59d24200%22	http://www.hawaii4two.com/virtour.jpg	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/virtour.jpg	(from http://www.hawaii4two.com/)
19:20:38	3277/3277	---M--	200	added ('OK')	image/jpeg	etag:%22ccd-489296b050c40%22	http://www.hawaii4two.com/photo.jpg	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/photo.jpg	(from http://www.hawaii4two.com/)
19:20:38	3990/3990	---M--	200	added ('OK')	image/jpeg	etag:%22f96-3fa3e54d08500%22	http://www.hawaii4two.com/innslogo.jpg	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/innslogo.jpg	(from http://www.hawaii4two.com/)
19:20:38	3468/3468	---M--	200	added ('OK')	image/jpeg	etag:%22d8c-3fa3e58b05740%22	http://www.hawaii4two.com/rentalo.jpg	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/rentalo.jpg	(from http://www.hawaii4two.com/)
